site15 CFKADS2218   75   2.3300   2.3720  2025    2   8   437.68     0.17     NaN   2062.6     2.15     NaN   123.8    5.2     NaN    2007  1  0.040
site15 CFKADS2218   75   2.3720   2.4130  2025    2   9   437.68     0.14     NaN   2066.9     0.41     NaN   124.1    4.9     NaN    2006  1  0.040
site15 CFKADS2218   75   2.4130   2.4550  2025    2  10   438.21     0.25     NaN   2070.2     1.79     NaN   124.8    5.2     NaN    2006  1  0.040
site15 CFKADS2218   75   2.4550   2.4970  2025    2  11   439.05     0.28     NaN   2072.3     1.29     NaN   126.8    5.0     NaN    2005  1  0.040
site15 CFKADS2218   75   2.4970   2.5380  2025    2  12   439.53     0.22     NaN   2069.4     0.70     NaN   125.0    5.1     NaN    1600  1  0.040
site15 CFKADS2218   75   2.5380   2.5800  2025    2  13   440.22     1.37     NaN   2070.1     2.28     NaN   126.6    5.6     NaN    2008  1  0.040
site15 CFKADS2218   75   2.5800   2.6220  2025    2  14   439.73     1.15     NaN   2069.4     1.63     NaN   128.4    6.4     NaN    2007  1  0.040
site15 CFKADS2218   75   2.6220   2.6630  2025    2  15   439.22     0.95     NaN   2066.5     1.41     NaN   127.2    5.5     NaN    2009  1  0.040
site15 CFKADS2218   75   2.6630   2.7050  2025    2  16   437.93     0.69     NaN   2062.1     1.65     NaN   127.3    5.0     NaN    2009  1  0.040
site15 CFKADS2218   75   2.7050   2.7470  2025    2  17   436.09     0.37     NaN   2056.1     2.14     NaN   123.3    5.1     NaN    2009  1  0.040
site15 CFKADS2218   75   2.7470   2.7880  2025    2  18   435.74     0.17     NaN   2053.2     0.87     NaN   122.6    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   2.7880   2.8300  2025    2  19   435.38     0.18     NaN   2059.6     3.26     NaN   122.9    4.9     NaN    2011  1  0.040
site15 CFKADS2218   75   2.8300   2.8720  2025    2  20   435.22     0.26     NaN   2067.0     3.18     NaN   123.5    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   2.8720   2.9130  2025    2  21   434.92     0.29     NaN   2064.7     3.61     NaN   124.1    5.2     NaN    2010  1  0.040
site15 CFKADS2218   75   2.9130   2.9550  2025    2  22   434.44     0.12     NaN   2058.4     2.15     NaN   121.8    5.2     NaN    2011  1  0.040
site15 CFKADS2218   75   2.9550   2.9970  2025    2  23   435.12     0.71     NaN   2053.8     0.93     NaN   123.9    6.0     NaN    2010  1  0.040
site15 CFKADS2218   75   2.9970   3.0380  2025    3   0   436.30     1.38     NaN   2063.1     9.64     NaN   130.6    7.8     NaN    2011  1  0.040
site15 CFKADS2218   75   3.0380   3.0800  2025    3   1   437.38     0.62     NaN   2082.5     3.82     NaN   134.8    5.5     NaN    2010  1  0.040
site15 CFKADS2218   75   3.0800   3.1220  2025    3   2   438.08     0.45     NaN   2084.8     1.50     NaN   138.0    5.1     NaN    2011  1  0.040
site15 CFKADS2218   75   3.1220   3.1630  2025    3   3   439.22     0.33     NaN   2086.3     1.42     NaN   139.6    5.1     NaN    2011  1  0.040
site15 CFKADS2218   75   3.1630   3.2050  2025    3   4   438.87     0.48     NaN   2082.5     2.56     NaN   138.1    6.6     NaN    2010  1  0.040
site15 CFKADS2218   75   3.2050   3.2470  2025    3   5   438.22     0.30     NaN   2074.1     3.00     NaN   134.2    5.2     NaN    2011  1  0.040
site15 CFKADS2218   75   3.2470   3.2880  2025    3   6   438.79     0.41     NaN   2101.8    10.96     NaN   133.7    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   3.2880   3.3300  2025    3   7   438.61     0.27     NaN   2097.4    13.25     NaN   137.1    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   3.3300   3.3720  2025    3   8   438.03     0.26     NaN   2070.7     2.15     NaN   129.6    6.1     NaN    2011  1  0.040
site15 CFKADS2218   75   3.3720   3.4130  2025    3   9   436.41     0.65     NaN   2058.7     4.80     NaN   123.4    5.4     NaN    2010  1  0.040
site15 CFKADS2218   75   3.4130   3.4550  2025    3  10   436.44     0.29     NaN   2064.4     1.60     NaN   122.4    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   3.4550   3.4970  2025    3  11   436.23     0.34     NaN   2063.1     3.72     NaN   121.7    5.1     NaN    1604  1  0.040
site15 CFKADS2218   75   3.4970   3.5380  2025    3  12   435.40     0.14     NaN   2053.5     1.01     NaN   120.0    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   3.5380   3.5800  2025    3  13   436.32     0.38     NaN   2062.4     3.12     NaN   121.0    5.2     NaN    2010  1  0.040
site15 CFKADS2218   75   3.5800   3.6220  2025    3  14   436.48     0.20     NaN   2064.5     0.40     NaN   120.7    5.0     NaN    2011  1  0.040
site15 CFKADS2218   75   3.6220   3.6630  2025    3  15   436.22     0.17     NaN   2063.7     0.95     NaN   120.8    5.2     NaN    2011  1  0.040
site15 CFKADS2218   75   3.6630   3.7050  2025    3  16   436.44     0.18     NaN   2064.4     1.71     NaN   121.7    5.2     NaN    2009  1  0.040
site15 CFKADS2218   75   3.7050   3.7470  2025    3  17   436.82     0.13     NaN   2068.7     0.53     NaN   124.2    5.0     NaN    2010  1  0.040
site15 CFKADS2218   75   3.7470   3.7880  2025    3  18   436.85     0.16     NaN   2069.1     0.51     NaN   124.9    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   3.7880   3.8300  2025    3  19   437.29     0.65     NaN   2070.2     1.06     NaN   124.3    5.1     NaN    2009  1  0.040
site15 CFKADS2218   75   3.8300   3.8720  2025    3  20   437.37     0.46     NaN   2067.0     1.45     NaN   123.4    5.1     NaN    2011  1  0.040
site15 CFKADS2218   75   3.8720   3.9130  2025    3  21   436.91     0.19     NaN   2066.4     0.51     NaN   123.2    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   3.9130   3.9550  2025    3  22   437.16     0.48     NaN   2067.3     0.73     NaN   124.0    5.0     NaN    2009  1  0.040
site15 CFKADS2218   75   3.9550   3.9970  2025    3  23   438.22     0.18     NaN   2068.8     0.90     NaN   126.5    5.1     NaN    2009  1  0.040
site15 CFKADS2218   75   3.9970   4.0380  2025    4   0   437.49     0.51     NaN   2067.3     2.28     NaN   124.3    5.2     NaN    2009  1  0.040
site15 CFKADS2218   75   4.0380   4.0800  2025    4   1   436.12     0.28     NaN   2061.1     1.30     NaN   123.2    5.0     NaN    2008  1  0.040
site15 CFKADS2218   75   4.0800   4.1220  2025    4   2   435.88     0.26     NaN   2062.8     2.12     NaN   124.2    5.1     NaN    2009  1  0.040
site15 CFKADS2218   75   4.1220   4.1630  2025    4   3   436.23     0.07     NaN   2063.7     0.27     NaN   125.1    5.0     NaN    2008  1  0.040
site15 CFKADS2218   75   4.1630   4.2050  2025    4   4   436.43     0.11     NaN   2065.1     0.85     NaN   126.2    5.1     NaN    2008  1  0.040
site15 CFKADS2218   75   4.2050   4.2470  2025    4   5   436.78     0.16     NaN   2068.3     0.94     NaN   126.3    5.1     NaN    2008  1  0.040
site15 CFKADS2218   75   4.2470   4.2880  2025    4   6   437.17     0.12     NaN   2069.2     0.81     NaN   127.3    4.9     NaN    2008  1  0.040
site15 CFKADS2218   75   4.2880   4.3300  2025    4   7   437.49     0.11     NaN   2071.2     0.55     NaN   127.1    5.1     NaN    2009  1  0.040
site15 CFKADS2218   75   4.3300   4.3720  2025    4   8   438.20     0.22     NaN   2072.4     1.09     NaN   128.4    5.0     NaN    2010  1  0.040
site15 CFKADS2218   75   4.3720   4.4130  2025    4   9   438.82     0.28     NaN   2075.2     0.43     NaN   129.9    5.2     NaN    2006  1  0.040
site15 CFKADS2218   75   4.4130   4.4550  2025    4  10   439.39     0.29     NaN   2075.5     0.33     NaN   130.1    4.8     NaN    1610  1  0.040
site15 CFKADS2218   75   4.4550   4.4970  2025    4  11   439.74     0.12     NaN   2075.0     0.39     NaN   130.5    4.9     NaN    2007  1  0.040
site15 CFKADS2218   75   4.4970   4.5380  2025    4  12   439.28     0.18     NaN   2075.1     0.34     NaN   130.7    5.0     NaN    2008  1  0.040
site15 CFKADS2218   75   4.5380   4.5800  2025    4  13   439.10     0.10     NaN   2076.5     0.37     NaN   130.7    4.9     NaN    2009  1  0.040
site15 CFKADS2218   75   4.5800   4.6220  2025    4  14   438.85     0.16     NaN   2076.3     0.66     NaN   131.1    5.1     NaN    2008  1  0.040
site15 CFKADS2218   75   4.6220   4.6630  2025    4  15   437.94     0.33     NaN   2072.8     1.52     NaN   132.2    5.1     NaN    2009  1  0.040
site15 CFKADS2218   75   4.6630   4.7050  2025    4  16   437.40     0.15     NaN   2067.4     1.78     NaN   130.5    5.0     NaN    2009  1  0.040
site15 CFKADS2218   75   4.7050   4.7470  2025    4  17   436.51     0.43     NaN   2061.2     2.46     NaN   128.9    5.2     NaN    2009  1  0.040
site15 CFKADS2218   75   4.7470   4.7880  2025    4  18   436.39     0.60     NaN   2056.3     2.00     NaN   126.6    5.2     NaN    2010  1  0.040
site15 CFKADS2218   75   4.7880   4.8300  2025    4  19   436.44     0.75     NaN   2056.5     1.01     NaN   125.7    5.0     NaN    2009  1  0.040
site15 CFKADS2218   75   4.8300   4.8720  2025    4  20   435.48     0.14     NaN   2055.7     0.98     NaN   125.7    5.1     NaN    2011  1  0.040
site15 CFKADS2218   75   4.8720   4.9130  2025    4  21   436.73     0.21     NaN   2059.6     0.74     NaN   128.4    5.1     NaN    2009  1  0.040
site15 CFKADS2218   75   4.9130   4.9550  2025    4  22   437.05     0.16     NaN   2061.4     1.30     NaN   130.6    5.3     NaN    2009  1  0.040
site15 CFKADS2218   75   4.9550   4.9970  2025    4  23   437.03     0.68     NaN   2061.2     0.37     NaN   130.4    5.0     NaN    2008  1  0.040
site15 CFKADS2218   75   4.9970   5.0380  2025    5   0   437.15     0.27     NaN   2063.3     1.38     NaN   132.7    5.2     NaN    2010  1  0.040
site15 CFKADS2218   75   5.0380   5.0800  2025    5   1   437.09     0.22     NaN   2065.8     1.56     NaN   135.4    5.3     NaN    2004  1  0.040
site15 CFKADS2218   75   5.0800   5.1220  2025    5   2   437.78     0.18     NaN   2069.8     0.68     NaN   136.0    5.1     NaN    2008  1  0.040
site15 CFKADS2218   75   5.1220   5.1630  2025    5   3   438.17     0.24     NaN   2070.0     0.81     NaN   137.2    5.2     NaN    2007  1  0.040
site15 CFKADS2218   75   5.1630   5.2050  2025    5   4   437.53     0.44     NaN   2068.0     2.82     NaN   133.7    5.3     NaN    2009  1  0.040
site15 CFKADS2218   75   5.2050   5.2470  2025    5   5   437.48     0.49     NaN   2066.5     2.56     NaN   136.6    6.2     NaN    2009  1  0.040
site15 CFKADS2218   75   5.2470   5.2880  2025    5   6   438.39     0.60     NaN   2167.3    79.80     NaN   139.9    5.2     NaN    2008  1  0.040
site15 CFKADS2218   75   5.2880   5.3300  2025    5   7   438.98     0.35     NaN   2157.0    27.61     NaN   141.8    5.4     NaN    2010  1  0.040
site15 CFKADS2218   75   5.3300   5.3720  2025    5   8   439.26     0.22     NaN   2129.2     9.84     NaN   148.3    5.5     NaN    2009  1  0.040
site15 CFKADS2218   75   5.3720   5.4130  2025    5   9   437.57     0.49     NaN   2072.1    15.97     NaN   135.5    5.6     NaN    1605  1  0.040
site15 CFKADS2218   75   5.4130   5.4550  2025    5  10   437.25     0.20     NaN   2066.0     0.83     NaN   134.1    5.0     NaN    2008  1  0.040
site15 CFKADS2218   75   5.4550   5.4970  2025    5  11   437.08     0.17     NaN   2067.4     2.37     NaN   134.8    5.5     NaN    2009  1  0.040
site15 CFKADS2218   75   5.4970   5.5380  2025    5  12   437.78     0.32     NaN   2086.0    13.46     NaN   135.9    5.0     NaN    2008  1  0.040
site15 CFKADS2218   75   5.5380   5.5800  2025    5  13   438.98     0.54     NaN   2087.5    22.16     NaN   141.3    6.0     NaN    2009  1  0.040
site15 CFKADS2218   75   5.5800   5.6220  2025    5  14   440.41     0.51     NaN   2072.1     2.93     NaN   150.2    6.7     NaN    2009  1  0.040
site15 CFKADS2218   75   5.6220   5.6630  2025    5  15   440.33     0.56     NaN   2070.4     1.76     NaN   152.2    6.7     NaN    2009  1  0.040
site15 CFKADS2218   75   5.6630   5.7050  2025    5  16   444.30     1.29     NaN   2098.5     8.50     NaN   156.4    6.5     NaN    2011  1  0.040
site15 CFKADS2218   75   5.7050   5.7470  2025    5  17   444.32     0.65     NaN   2113.4     4.56     NaN   159.3    6.5     NaN    2008  1  0.040
site15 CFKADS2218   75   5.7470   5.7880  2025    5  18   442.83     1.52     NaN   2088.1    19.70     NaN   157.6    7.1     NaN    2010  1  0.040
site15 CFKADS2218   75   5.7880   5.8300  2025    5  19   445.77     1.60     NaN   2170.4    97.74     NaN   177.1    9.6     NaN    2010  1  0.040
site15 CFKADS2218   75   5.8300   5.8720  2025    5  20   443.91     0.63     NaN   2353.7    75.79     NaN   163.7    7.9     NaN    2009  1  0.040
site15 CFKADS2218   75   5.8720   5.9130  2025    5  21   441.60     1.94     NaN   2242.4    42.86     NaN   156.1    9.8     NaN    2011  1  0.040
site15 CFKADS2218   75   5.9130   5.9550  2025    5  22   442.78     1.70     NaN   2202.8   109.56     NaN   177.8   18.5     NaN    2011  1  0.040
site15 CFKADS2218   75   5.9550   5.9970  2025    5  23   441.71     0.80     NaN   2083.7     7.77     NaN   175.2    9.3     NaN    2010  1  0.040
site15 CFKADS2218   75   5.9970   6.0380  2025    6   0   440.90     0.20     NaN   2140.8    54.34     NaN   164.3    7.1     NaN    2010  1  0.040
site15 CFKADS2218   75   6.0380   6.0800  2025    6   1   439.47     1.19     NaN   2132.9    40.61     NaN   156.6    9.4     NaN    2011  1  0.040
site15 CFKADS2218   75   6.0800   6.1220  2025    6   2   437.46     0.43     NaN   2067.1     8.74     NaN   154.0    7.9     NaN    2010  1  0.040
site15 CFKADS2218   75   6.1220   6.1630  2025    6   3   437.55     0.37     NaN   2057.3     3.04     NaN   155.6    5.8     NaN    2012  1  0.040
site15 CFKADS2218   75   6.1630   6.2050  2025    6   4   439.12     0.30     NaN   2082.2     9.21     NaN   162.1    5.6     NaN    2010  1  0.040
site15 CFKADS2218   75   6.2050   6.2470  2025    6   5   440.44     0.82     NaN   2080.6     4.46     NaN   164.7    6.2     NaN    2011  1  0.040
site15 CFKADS2218   75   6.2470   6.2880  2025    6   6   440.01     0.23     NaN   2084.7     0.98     NaN   155.4    6.2     NaN    2011  1  0.040
site15 CFKADS2218   75   6.2880   6.3300  2025    6   7   438.48     0.82     NaN   2078.0     6.36     NaN   145.9    6.6     NaN    2010  1  0.040
site15 CFKADS2218   75   6.3300   6.3720  2025    6   8   437.38     0.47     NaN   2067.2     5.49     NaN   139.7    5.3     NaN    1605  1  0.040
site15 CFKADS2218   75   6.3720   6.4130  2025    6   9   437.92     0.76     NaN   2073.5     6.87     NaN   139.2    5.7     NaN    2011  1  0.040
site15 CFKADS2218   75   6.4130   6.4550  2025    6  10   438.70     1.38     NaN   2077.8    13.06     NaN   145.1    9.2     NaN    2010  1  0.040
site15 CFKADS2218   75   6.4550   6.4970  2025    6  11   440.01     0.26     NaN   2094.1     2.60     NaN   158.3    5.0     NaN    2011  1  0.040
site15 CFKADS2218   75   6.4970   6.5380  2025    6  12   439.93     0.31     NaN   2090.5     1.94     NaN   158.9    5.2     NaN    2011  1  0.040
site15 CFKADS2218   75   6.5380   6.5800  2025    6  13   438.51     0.45     NaN   2080.1     4.10     NaN   152.7    5.5     NaN    2012  1  0.040
site15 CFKADS2218   75   6.5800   6.6220  2025    6  14   437.12     0.63     NaN   2101.0    27.24     NaN   144.9    6.5     NaN    2010  1  0.040
site15 CFKADS2218   75   6.6220   6.6630  2025    6  15   435.18     0.37     NaN   2139.2    21.34     NaN   133.0    5.3     NaN    2012  1  0.040
site15 CFKADS2218   75   6.6630   6.7050  2025    6  16   434.83     0.14     NaN   2069.0    20.20     NaN   132.1    5.0     NaN    2011  1  0.040
site15 CFKADS2218   75   6.7050   6.7470  2025    6  17   435.05     0.22     NaN   2069.6    14.05     NaN   132.1    5.0     NaN    2011  1  0.040
site15 CFKADS2218   75   6.7470   6.7880  2025    6  18   434.50     0.19     NaN   2079.7     7.42     NaN   129.2    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   6.7880   6.8300  2025    6  19   434.01     0.17     NaN   2073.5     8.06     NaN   126.3    5.0     NaN    2011  1  0.040
site15 CFKADS2218   75   6.8300   6.8720  2025    6  20   434.10     0.13     NaN   2065.6    11.88     NaN   127.4    5.1     NaN    2011  1  0.040
site15 CFKADS2218   75   6.8720   6.9130  2025    6  21   433.68     0.14     NaN   2045.0     1.08     NaN   126.7    5.3     NaN    2010  1  0.040
site15 CFKADS2218   75   6.9130   6.9550  2025    6  22   433.50     0.11     NaN   2042.0     0.52     NaN   125.5    5.1     NaN    2011  1  0.040
site15 CFKADS2218   75   6.9550   6.9970  2025    6  23   433.73     0.13     NaN   2040.5     0.51     NaN   127.9    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   6.9970   7.0380  2025    7   0   433.70     0.12     NaN   2063.0    17.08     NaN   126.6    5.1     NaN    2011  1  0.040
site15 CFKADS2218   75   7.0380   7.0800  2025    7   1   433.39     0.18     NaN   2050.7     5.22     NaN   125.0    5.1     NaN    2010  1  0.040
site15 CFKADS2218   75   7.0800   7.1220  2025    7   2   433.45     0.31     NaN   2040.0     2.15     NaN   127.4    5.2     NaN    2011  1  0.040
site15 CFKADS2218   75   7.1220   7.1630  2025    7   3   434.11     0.12     NaN   2041.9     1.75     NaN   128.5    5.5     NaN    2010  1  0.040
site15 CFKADS2218   75   7.1630   7.2050  2025    7   4   434.34     0.10     NaN   2047.9     1.84     NaN   129.5    4.9     NaN    2010  1  0.040
site15 CFKADS2218   75   7.2050   7.2470  2025    7   5   434.72     0.13     NaN   2050.6     1.28     NaN   131.0    4.9     NaN    2010  1  0.040
site15 CFKADS2218   75   7.2470   7.2880  2025    7   6   435.10     0.29     NaN   2062.8    18.64     NaN   133.4    5.2     NaN    2009  1  0.040
site15 CFKADS2218   75   7.2880   7.3300  2025    7   7   435.71     0.23     NaN   2065.9    14.81     NaN   135.3    5.3     NaN    1609  1  0.040
site15 CFKADS2218   75   7.3300   7.3720  2025    7   8   436.11     0.39     NaN   2089.8    32.41     NaN   133.3    5.6     NaN    2010  1  0.040
